Bus No.,Source,Destination
144,Fatehpuri,Singhu School
146,Fatehpuri,Hiranki Village
147,Fatehpuri,Tiggi Pur
148,Fatehpuri,Tikri Khurd
149,Fatehpuri,Tajpur Kalan
154,Mori Gate Terminal,Dehisra Border
157,Palika Kendra,Ashok Vihar Ph-II
159,Inder Puri,Jahangir Puri E-Block
160,Kendriya Terminal,Haider Pur
162,G.T.K. Depot,Tiggi Pur
163,Anand Vihar ISBT (Viveka Nand ISBT),Narela Terminal
164,Shivaji Stadium,Saraswati Vihar
165,Anand Vihar ISBT (Viveka Nand ISBT),Shahbad Dairy
166,Nizamuddin Railway Station,BH Block Shalimar Bagh
169,ISBT / Kashmiri Gate,Katewara Village
169SPL TRIP,Maurice Nagar,Katewara Village
171,Shivaji Stadium,Holambi Kalan JJ Colony
172,New Delhi Railway Station Gate 2,Holambi Kalan JJ Colony
173,J.L.N. Stadium (C.G.O. Complex),Narela Sector A 5-6
174 STL,Azadpur Terminal,Jonti Border
175,Fatehpuri,Lampur Border
176,Mori Gate Terminal,Palla
177,Mori Gate Terminal,Katewara Village
179,Azadpur Terminal,Narela Terminal
180,Kendriya Terminal,Baba Colony Sant Nagar (Shiv Mandir Burari)
181,Nizamuddin Railway Station,Jahangir Puri E-Block
181A,Nizamuddin Railway Station,Jahangir Puri E-Block
181ACluster,Nizamuddin Railway Station,Jahangir Puri E-Block
182A,ISBT / Kashmiri Gate,Sukhbir Nagar
182ACluster,ISBT / Kashmiri Gate,Sukhbir Nagar
183,Old Delhi Railway Station,Rohini Sector 15 Pocket-2
184,Old Delhi Railway Station,BH Block Shalimar Bagh
185,Kendriya Terminal,Keshav Nagar (Mukti Ashram Nathupura)
185Cluster,Kendriya Terminal,Nathu Pura
185LnkSTLCluster,Old Delhi Railway Station,BBM II Depot
185STLCluster,BBM II Depot,Nathu Pura
186,ISBT / Kashmiri Gate,Mukand Pur
187,Palika Kendra,Siras Pur
190,Kendriya Terminal,Sant Nagar
191,Mori Gate Terminal,Harewali Village
192,ISBT / Kashmiri Gate,Keshav Nagar (Mukti Ashram Nathupura)
192 STL,G.T.B. Nagar,Keshav Nagar (Mukti Ashram Nathupura)
193,Mori Gate Terminal,Narela Terminal
194,Fatehpuri,Bakoli Temple
195,Old Delhi Railway Station,Siras Pur
196,Shivaji Stadium,Rohini Sector 18
198,Wazirpur Depot,Bhalswa JJ Colony
199,Old Delhi Railway Station,Badli Railway Station
202,Old Delhi Railway Station,Anand Vihar ISBT (Viveka Nand ISBT)
204,Shivaji Stadium,Ghonda
205,Old Delhi Railway Station,New Seemapuri
210,Kendriya Terminal,Harsh Vihar
211,Mori Gate Terminal,Mayur Vihar Ph-III
211Cluster,Mori Gate Terminal,Mayur Vihar Phase III Terminal / Paper Market
211A,Mori Gate Terminal,Mayur Vihar Ph-I
211LnkSTLCluster,Dilshad Garden Depot (New Seemapuri),Mayur Vihar Phase III Terminal / Paper Market
212,Anand Parbat,Anand Vihar ISBT (Viveka Nand ISBT)
212Cluster,Anand Parbat,Anand Vihar ISBT (Viveka Nand ISBT)
212ACluster,Anand Parbat,Nand Nagri Terminal
213,Kendriya Terminal,Harsh Vihar
213A,B.M.D. Chowk,Nand Nagri
214,Kamla Market,Seema Puri
214A,Anand Parbat,Seema Puri
214CLCluster,Ajmeri Gate,Dilshad Garden Depot (New Seemapuri)
216,L.N. Temple,New Seemapuri
217,B.M.D. Chowk,Gokulpuri
218,Babarpur Extn.,Shadi Pur Depot
219,Old Delhi Railway Station,Nangloi
219 STL,Old Delhi Railway Station,Hiran Kudna X-ing
219ExtCluster,Old Delhi Railway Station,Kanjhawla Depot
219STLCluster,Old Delhi Railway Station,Hiran Kudna Crossing
221,Mori Gate Terminal,Anand Vihar ISBT (Viveka Nand ISBT)
221A,Mori Gate Terminal,Jhilmil Colony
227,Old Delhi Railway Station,Karawal Nagar
227A,Old Delhi Railway Station,Karawal Nagar Pusta
227B,Old Delhi Railway Station,Karawal Nagar
231,Old Delhi Railway Station,Mangol Puri Q-Block
234,Tilak Nagar,Harsh Vihar
234CLCluster,Karampura Terminal,Harsh Vihar
234CLECluster,Punjabi Bagh Terminal,Harsh Vihar
235,Wazirpur JJ Colony,Nand Nagri Terminal
236,Anand Vihar ISBT (Viveka Nand ISBT),Nangloi JJ Colony
236Cluster,Anand Vihar ISBT (Viveka Nand ISBT),Kamruddin Nagar
236 Extn.,Anand Vihar ISBT (Viveka Nand ISBT),Savda Ghevra JJ Colony
241,Shivaji Stadium,Nand Nagri Terminal
246,Shivaji Stadium,Seema Puri
246CLCluster,Shivaji Stadium,Dilshad Garden Depot (New Seemapuri)
247,ISBT / Kashmiri Gate,Kanjhawla Village
248,Mori Gate Terminal,Johri Pur Village
253,Mori Gate Terminal,Yamuna Vihar Terminal
253Cluster,Mori Gate Terminal,Yamuna Vihar C-4
254,Babarpur Extn.,Kamruddin Nagar
255,Kendriya Terminal,Sabha Pur Village
258,Mori Gate Terminal,Chauhan Patti
258Cluster,Mori Gate Terminal,Chauhan Patti
259,Jahangir Puri E-Block,Harsh Vihar
260,Kendriya Terminal,Yamuna Vihar C-4
