Name of Institutes ,City,URL 
Pudumjee Pulp & Paper Mills Ltd. ,Mumbai ,www.pudumjeeindustries.com 
R P G Life Sciences Ltd. Navi Mumbai ,Mumbai ,www.rpglifesciences.com 
Radix Electrosystems Pvt. Ltd ,Mumbai ,www.radix.co.in 
Rallis India Ltd. ,Mumbai ,www.rallis.co.in 
Ramelex Pvt Ltd ,Mumbai ,www.ramelex.com 
Raptakos Brett & Co. Ltd. ,Mumbai ,www.raptakos.com 
Raptim Research Ltd. ,Mumbai ,www.raptimresearch.com 
Rasayani Biologics Pvt. Ltd ,Mumbai ,www.rasayu.com 
Rathi Dye Chem (Pvt.) Ltd. ,Mumbai ,www.rathicolours.com 
Raychem RPG Pvt Ltd ,Mumbai ,www.raychemrpg.com 
Realty Automation & Security Systems Pvt. Ltd. ,Mumbai ,www.vighnaharta.in 
Regenerative Medical Services Pvt Ltd ,Mumbai ,www.babycell.in 
Reliance Industries Ltd. ,Mumbai ,www.ril.com 
Reliance Industries Ltd. (Plastics and,Mumbai ,www.ril.com 
Petrochemicals Division) ,Mumbai ,
Reliance Industries Ltd.(Textile Division) ,Mumbai ,www.ril.com 
Reliance Life Sciences Pvt. Ltd. ,Mumbai ,www.relbio.com 
Renu Electronics Pvt. Ltd. ,Mumbai ,www.renuelectronics.com 
Resins and Plastics Ltd. ,Mumbai ,www.resplast.com 
Resonance Specialties Ltd. ,Mumbai ,www.resonancesl.com 
Rich Graviss Products Pvt. Ltd. ,Mumbai ,www.richgraviss.com 
Rise n Shine Biotech Pvt. Ltd. ,Mumbai ,www.risenshine.in 
Rishabh Instruments Pvt. Ltd. ,Mumbai ,www.rishabh.co.in 
Rj Biotech Ltd ,Mumbai ,www.rjbiotech.com 
Robonik India Pvt. Ltd ,Mumbai ,www.robonik.net 
Roha Dyechem Ltd. ,Mumbai ,www.rohadyechem.com 
Rolta India Ltd. ,Mumbai ,www.rolta.com 
Ross Life Science Pvt. Ltd ,Mumbai ,www.rosslife.net 
Rossari Biotech Ltd ,Mumbai ,www.rossari.com 
Rubicon Research Pvt. Ltd. ,Mumbai ,www.rubicon.co.in 
Rucha Engineers Pvt Ltd ,Mumbai ,www.ruchagroup.com 
Ruchi Soya Industries Ltd ,Mumbai ,www.ruchisoya.com 
Rudraksha Allied Chemical Pvt. Ltd. ,Mumbai ,www.rudrakshachemicals. 
Rusan Pharma Ltd. ,Mumbai ,www.rusanpharma.com 
S H Kelkar & Company Ltd. ,Mumbai ,www.kelkargroup.com 
S.Kant Healthcare Ltd ,Mumbai ,www.skant.com 
Sadhana Nitro Chem Ltd. ,Mumbai ,www.sncl.com 
Safal Seeds & Biotech Ltd. ,Mumbai ,www.safalseeds.com 
Sahyadri Hospital Ltd ,Mumbai ,www.sahyadrihospital.com 
Sainath Agro-vet Industries Pvt. Ltd ,Mumbai ,www.savilmaci.com 
SAJ Test Plant Pvt.Ltd ,Mumbai ,www.sajdyno.com 
Samarth Life Sciences Pvt Ltd ,Mumbai ,www.samarthlifesciences.com 
Samruddhi Industries Ltd. ,Mumbai ,www.samruddhiindustriesltd.co.in 
Sandvik Asia Ltd. ,Mumbai ,www.sandvik.com 
Sanofi-Synthelabo (India) Ltd. ,Mumbai ,www.sanofi.com 
SAVA Healthcare Ltd ,Mumbai ,www.savaglobal.com 
Savita Oil Technologies Ltd. ,Mumbai ,www.savita.com 
Sbem Pvt Ltd ,Mumbai ,www.sbem-india.com 
SD Fine Chem Ltd ,Mumbai ,www.sdfine.com 
Selec Controls Pvt. Ltd. ,Mumbai ,www.selec.com 
Serum Institute of India ,Mumbai ,www.seruminstitute.com 
Setco Automotive Ltd. ,Mumbai ,www.setcoauto.com 
Shalimar Paints Ltd. ,Mumbai ,www.shalimarpaints.com 
Shantani Proteome Analytics Pvt. Ltd. ,Mumbai ,
Shree Dhootapapeshwar Ltd. ,Mumbai ,www.sdlindia.com 
Shreem Electric Ltd ,Mumbai ,www.shreemelectric.com 
Siddharth Carbochem Products Ltd. ,Mumbai ,www.scpl.biz 
Siddharth Starch Pvt Ltd ,Mumbai ,
Sigma Electric Manufacturing Corporation Pvt.Ltd ,Mumbai ,www.sigmaelectric.com 
Sks Fasteners Ltd ,Mumbai ,www.sksfasteners.com 
Smruthi Organics Ltd. ,Mumbai ,www.smruthiorganics.com 
Solar Industries India Ltd ,Mumbai ,www.solargroup.com 
Solus Security Systems Pvt. Ltd ,Mumbai ,www.solus.co.in 
Spaco Technologies India Pvt. Ltd.,Mumbai ,www.spaco.com 
(Formerly Spaco Carburettors (India) Ltd) ,Mumbai ,
Span Biotronics Pvt. Ltd. ,Mumbai ,
Span Pumps Pvt Ltd ,Mumbai ,www.spanpumpsindia.com 
Spicer India Ltd ,Mumbai ,www.spicerindia.in 
Srikem Laboratories Pvt Ltd ,Mumbai ,www.srikem.com 
Standard Greases Specialities Pvt. Ltd. ,Mumbai ,www.standardgreases.co.in 
Star Engineers India Pvt. Ltd. ,Mumbai ,www.starengineersindia.com 
Stellar Chemical Laboratories Pvt. Ltd. ,Mumbai ,www.stellarchemicals.com 
Sterlite Technologies Ltd (Formerly Sterlite,Mumbai ,www.sterlitetechnologies.com 
Optical Technologies Ltd.) ,Mumbai ,
Structwel Designers & Consultants Pvt. Ltd. ,Mumbai ,www.structwel.com 
Subhash Fertilizers Pvt. Ltd ,Mumbai ,
Sudarshan Chemicals Industries Ltd. ,Mumbai ,www.sudarshan.com 
Sulphur Mills Ltd ,Mumbai ,www.sulphurmills.com 
Sungro Seeds Ltd ,Mumbai ,www.sungroseeds.com 
Suparna Chemicals Ltd. ,Mumbai ,www.suparnachemicals.co.in 
Supriya Lifescience Ltd ,Mumbai ,www.supriyalifescience.com 
Survival Technologies Pvt. Ltd. ,Mumbai ,www.survivaltechnologies.in 
Suyash Solutions Pvt. Ltd. ,Mumbai ,www.suyashsolutions.com 
Syngenta Biosciences Pvt. Ltd. ,Mumbai ,www3.syngenta.com 
Syngenta India Ltd. ,Mumbai ,www.syngenta.co.in 
TAS PowerTek Pvt. Ltd ,Mumbai ,www.taspowertek.com 
Tasty Bite Eatables Ltd. ,Mumbai ,www.tastybite.com 
Tata AutoComp Systems Ltd ,Mumbai ,www.tacogroup.com 
Tata Chemicals Ltd. ,Mumbai ,www.tatachemicals.com 
Tata Consultancy Services (TCS) ,Mumbai ,www.tcs.com 
Tata Ficosa Automotive Systems Ltd ,Mumbai ,
Tata International Ltd.(R&D Dewas (MP) ,Mumbai ,www.tatainternational.com 
Tata Motors Ltd.(R&D Lucknow) ,Mumbai ,www.tatamotors.com 
Tata Steel Ltd.(R&D Jamshedpur) ,Mumbai ,www.tatasteel.com 
Tata Toyo Radiator Ltd. ,Mumbai ,
Tej Control System Pvt. Ltd ,Mumbai ,www.tejcontrol.com 
Teva Pharm India Pvt. Ltd ,Mumbai ,
The Century Textiles and Industries Ltd. ,Mumbai ,www.centurytextind.com 
The Dharamsi Morarji Chemical Company Ltd. ,Mumbai ,www.dmcc.com 
The Indian Hume Pipe Company Ltd. ,Mumbai ,www.indianhumepipe.com 
The Ruby Mills Ltd. ,Mumbai ,www.rubymills.com 
The Tata Power Co. Ltd. ,Mumbai ,www.tatapower.com 
Thermax Ltd. ,Mumbai ,www.thermaxindia.com 
Thermolab Scientific Equipment Pvt. Ltd ,Mumbai ,www.thermolabgroup.com 
Thinq Pharma-CRO Ltd ,Mumbai ,www.thinqcro.com 
Thyssenkrupp Industries India Pvt. Ltd. ,Mumbai ,www.thyssenkrupp-industries-india.com 
Titan Laboratories Pvt.Ltd ,Mumbai ,www.titan-lab.com 
Transasia Bio-Medicals Ltd. ,Mumbai ,www.transasia.co.in 
Transparent Energy Systems Pvt. Ltd ,Mumbai ,www.tespl.com 
Transparent Technologies Pvt Ltd ,Mumbai ,www.tpdl.co.in 
U S V Ltd. ,Mumbai ,www.usvindia.com 
Ultramarine & Pigments Ltd. ,Mumbai ,www.ultramarinepigments.net 
Ultratech Cement Ltd. ,Mumbai ,www.ultratechcement.com 
Umang Pharmatech Pvt. Ltd. ,Mumbai ,www.umangpharma.com 
Unichem Laboratories Ltd. (R&D Goa) ,Mumbai ,www.unichemlabs.com 
Unichem Laboratories Ltd. (R&D Mumbai) ,Mumbai ,www.unichemlabs.com 
Unichem Laboratories Ltd.(R&D Bengaluru) ,Mumbai ,www.unichemlabs.com 
Unijules Life Sciences Ltd ,Mumbai ,www.unijules.com 
Unimark Remedies Ltd. ,Mumbai ,www.unimarkremedies.com 
UNI-TECH Automation Pvt. Ltd. ,Mumbai ,www.uni-techautomation.com 
United Phosphorus Ltd. ,Mumbai ,www.uplonline.com 
United Rubber Industries ,Mumbai ,www.unitedrubber.net 
Universal Construction Machinery &,Mumbai ,www.uceindia.com 
Equipment Pvt. Ltd ,Mumbai ,
Universal Starch Chem Allied Ltd. ,Mumbai ,www.universalstarch.com 
V I P Industries Ltd. ,Mumbai ,www.vipindustries.co.in 
Vacuum Plant & Instruments ,Mumbai ,www.vpiltd.com 
Vanaz Engineers Pvt. Ltd. ,Mumbai ,www.vanaz.com 
Varroc Engineering Ltd. ,Mumbai ,www.varrocgroup.com 
Venco Research & Breeding Farm Ltd. (R&D,Mumbai ,
"Velhe, Pune) ",Mumbai ,
Venco Research & Breeding Farm Ltd.(R&D,Mumbai ,www.venkys.com 
Distt. Satara) ,Mumbai ,
Venkateshwara Hatcheries Ltd. ,Mumbai ,www.venkys.com 
Venkateshwara Research & Breeding Farm Ltd. ,Mumbai ,www.venkys.com 
Vijay Seeds Company Ltd. ,Mumbai ,www.vijayseeds.com 
Viridis BioPharma Pvt. Ltd ,Mumbai ,www.viridisbiopharma.com 
Viswaat Chemicals Ltd ,Mumbai ,www.viswaat.com 
VNR Seeds Pvt.Ltd. ,Mumbai ,www.vnrseeds.com 
Voltas Ltd. ,Mumbai ,www.voltas.com 
Wanbury Ltd. ,Mumbai ,www.wanbury.com 
Warade Automation Solutions Pvt. Ltd ,Mumbai ,www.warade.in 
Warkem Biotech Pvt. Ltd. ,Mumbai ,www.warkembiotech.com 
Watson Pharma Pvt. Ltd. (R&D Mumbai) ,Mumbai ,www.watson.com 
Welspun India Ltd ,Mumbai ,www.welspun.com 
Whirlpool of India Ltd. ,Mumbai ,www.whirlpoolindia.com 
WILO Mather and Platt Pumps Pvt. Ltd ,Mumbai ,www.wilo.com 
Winjit Technologies Pvt. Ltd. ,Mumbai ,www.winjit.com 
Wockhardt Ltd. ,Mumbai ,www.wockhardt.com 
Yashoda Hybrid Seeds Pvt. Ltd ,Mumbai ,
Yashraj Biotechnology Ltd. ,Mumbai ,www.yashraj.com 
Yazaki India Ltd. ,Mumbai ,
ZCL Chemicals Ltd ,Mumbai ,www.zclchemicals.com 
Zenith Industrial Rubber Products Pvt. Ltd. ,Mumbai ,www.zenithrubber.com 
Zensar Technologies Ltd. ,Mumbai ,www.zensar.com 
Zeus Numerix Pvt. Ltd. ,Mumbai ,www.zeusnumerix.com 
Zim Laboratories Ltd ,Mumbai ,www.zimlab.in 
Zoetis Pharmaceutical Research Pvt. Ltd ,Mumbai ,www.zoetis.com 
Zuventus HealthCare Ltd ,Mumbai ,www.zuventus.co.in 
Zytex Corporation ,Mumbai ,www.zytex.com 
PRIVATE SECTOR– CMIE DATABASE ,Mumbai ,
A J Shah & Co. ,Mumbai ,
Aarti Healthcare Ltd. ,Mumbai ,www.aartihealthcare.com 
Abbott Healthcare Pvt. Ltd. ,Mumbai ,www.abbottep.in 
Abbott India Ltd. ,Mumbai ,www.abbott.co.in 
Abhijeet Roads Ltd ,Mumbai ,www.abhijeet.in 
Ace Refractories Ltd. ,Mumbai ,www.acerefractories.com 
Acrysil Ltd. ,Mumbai ,www.acrysil.com 
Actis Biologics Pvt. Ltd. ,Mumbai ,www.actisbiologics.com 
ADF Foods Ltd ,Mumbai ,www.adf-foods.com 
Aditya Engineering Company ,Mumbai ,www.accuratemetrology.com 
Ador Welding Ltd. ,Mumbai ,www.adorwelding.com 
Advanced Enzytech Solutions Ltd ,Mumbai ,www.enzytech.in 
Aegis Logistics Ltd ,Mumbai ,www.aegisindia.com 
Aftek Ltd ,Mumbai ,www.aftek.com 
Akola Chemicals (India) Ltd ,Mumbai ,www.akolachemicals.com 
Alfa Laval (India) Ltd ,Mumbai ,www.alfalaval.com 
Alkem Laboratories Ltd. (R&D Raigarh) ,Mumbai ,www.alkemlabs.com 
Almet Corporation Ltd. ,Mumbai ,
Alok Industries Ltd ,Mumbai ,
Alpha X-Ray Technologies (India) Pvt. Ltd. ,Mumbai ,www.alphaxray.com 
Alta Laboratories Ltd ,Mumbai ,www.altalab.in 
Amar Remedies Ltd. ,Mumbai ,
American Spring & Pressing Work Pvt Ltd ,Mumbai ,www.aspee.com 
Amphenol Interconnect India Pvt. Ltd. ,Mumbai ,www.amphenol-in.com 
Anand I Power Ltd ,Mumbai ,www.anandipower.com 
Andhra Valley Power Supply Co. Ltd ,Mumbai ,
Anshul Specialty Molecules Ltd. ,Mumbai ,www.anshulspecialtymolecules.com 
Anushakti Chemicals & Drugs Ltd ,Mumbai ,
AP Coatings Ltd. ,Mumbai ,
Applicomp India Ltd ,Mumbai ,
APS Star Industries Ltd ,Mumbai ,
Aptech Ltd. ,Mumbai ,www.aptech-worldwide.com 
Arch Pharmalabs Ltd. ,Mumbai ,www.archpharmalabs.com 
Aries Agro Ltd. ,Mumbai ,www.ariesagro.com 
Arklite Speciality Lamps Ltd. ,Mumbai ,www.arklite.co.in 
Arrow Coated Products Ltd ,Mumbai ,www.arrowcoated.com 
Artek Surfin Chemicals Ltd ,Mumbai ,www.artekchemicals.com
Aryan Pesticides Ltd ,Mumbai ,
Arysta Lifescience India Ltd ,Mumbai ,www.arystalifescienceindia.com 
Asia Automotive Ltd. ,Mumbai ,
Asia Motor Works Ltd. ,Mumbai ,www.amwasia.com 
Asian Cables & Industries Ltd ,Mumbai ,
