Name of Institutes ,City,URL 
Gokak Ltd.) ,Mumbai ,
Forbes Technosys Ltd ,Mumbai ,www.forbestechnosys.com 
Fosroc Chemicals (India)Pvt. Ltd. ,Mumbai ,www.fosroc.com 
Fouress Engineering India Ltd. ,Mumbai ,www.fouressindia.com 
Fredun Pharmaceuticals Ltd. ,Mumbai ,www.fredunpharma.com 
Futura Polyesters Ltd. ,Mumbai ,www.futurapolyesters.com 
G G Dandekar Machine Works Ltd. ,Mumbai ,www.ggdandekar.com 
G K N Sinter Metals Ltd. ,Mumbai ,www.gknsintermetals.com 
G P Electronics Ltd ,Mumbai ,www.gpelmagnet.com 
G T L Ltd ,Mumbai ,www.gtlLtd..com 
Gansons Ltd. ,Mumbai ,www.gansons.com 
Garware Elastomerics Ltd. ,Mumbai ,www.gelindia.com 
Garware Medcare Ltd ,Mumbai ,
GE Medical Systems X-Ray (South Asia) Ltd. ,Mumbai ,www.ge.com 
General Mills India Pvt.Ltd ,Mumbai ,www.generalmills.co.in 
Gits Food Products Pvt. Ltd ,Mumbai ,www.gitsfood.com 
Global Towers Ltd. ,Mumbai ,
Godrej & Boyce Mfg. Co. Ltd. ,Mumbai ,www.godrejandboyce.com 
Godrej Telecom Ltd ,Mumbai ,
Goldmohur Foods & Feeds Ltd ,Mumbai ,
Goodyear South Asia Tyres Pvt. Ltd. ,Mumbai ,
Grindwell Norton Ltd. ,Mumbai ,www.grindwellnorton.co.in 
Grover Zampa Vineyards Ltd ,Mumbai ,www.groverzampa.in 
GTC Industries Ltd. ,Mumbai ,www.gtcil.com 
GTL Infrastructure Ltd. ,Mumbai ,www.gtlinfra.com 
Guardian Controls Ltd ,Mumbai ,www.guardiancontrols.com 
Gufic Ltd. ,Mumbai ,www.guficbio.com 
Gujarat Oleo Chem Ltd. ,Mumbai ,www.gujaratoleochem.com 
Gujarat Polybutenes Pvt. Ltd. ,Mumbai ,www.gujaratpolybutenes.com 
Haldiram Foods Intl Ltd ,Mumbai ,
Hard Castle Petrofer Pvt. Ltd. ,Mumbai ,www.hawcoindia.com 
Hardcastle & Waud Manufacturing ,Mumbai ,www.hawcoindia.com 
Haria Exports Ltd ,Mumbai ,
Harish Enterprises Pvt. Ltd. ,Mumbai ,www.harishenterprise.com 
Harman Finochem Ltd ,Mumbai ,www.harmanfinochem.com 
Henkel Cac Pvt Ltd ,Mumbai ,www.henkel.in 
Hexaware Technologies Ltd ,Mumbai ,www.hexaware.com 
Hico Products Ltd ,Mumbai ,
High Technology Transmission Systems,Mumbai ,www.httsindia.com 
(India) Pvt. Ltd. ,Mumbai ,
Hindoostan Spinning & Wvg. Mills Ltd. ,Mumbai ,www.hindoostan.com 
Hindustan Construction Co. Ltd. ,Mumbai ,www.hccindia.com 
Hindustan Dorr-Oliver Ltd ,Mumbai ,www.hdo.in 
Hindustan Mineral Products Co. Ltd ,Mumbai ,www.hmpindia.com 
Hindustan Polyamides & Fibres Ltd. ,Mumbai ,www.hpfl-india.com 
Hiran Orgochem Ltd ,Mumbai ,www.hiranorgochem.com 
Honeywell Automation India Ltd. ,Mumbai ,www.honeywellautomationindia.com 
I G Petrochemicals Ltd. ,Mumbai ,www.igpetro.com 
I V P Ltd. ,Mumbai ,www.ivpindia.com 
Iflex Solutions Ltd. ,Mumbai ,
Inarco Ltd ,Mumbai ,www.inarco.com 
Indian Hume Pipe Co.Ltd ,Mumbai ,www.indianhumepipe.com 
Indian Oxalate Ltd. ,Mumbai ,www.indianoxalate.com 
Indian Plastics Ltd. ,Mumbai ,
Indo Count Inds. Ltd ,Mumbai ,www.indocount.com 
Indorama Cement Ltd ,Mumbai ,
Indus Biotech Pvt Ltd ,Mumbai ,www.indusbiotech.com 
Intec Polymers Ltd. ,Mumbai ,www.intecpolymers.com 
International Conveyors Ltd ,Mumbai ,www.iclbelting.com 
International Hometex Ltd ,Mumbai ,www.intlhometex.com 
Intervalve Poonawalla Ltd ,Mumbai ,www.poonawallagroup.com 
Inventa Infrastructure Pvt. Ltd. ,Mumbai ,www.o2box.in 
Ispat Industries Ltd. ,Mumbai ,www.ispatind.com 
ITD Cementation India Ltd (Formerly,Mumbai ,www.itdcem.co.in 
Skanska Cementation India Ltd) ,Mumbai ,
J D Orgochem Ltd ,Mumbai ,
Jain Processed Foods Pvt Ltd ,Mumbai ,www.jains.com 
Jamshri Ranjitsinghji Spg. & Wvg. Mills Co.,Mumbai ,www.jamshrimills.com 
Jay Biozyme Technologies Ltd. ,Mumbai ,
Jaya Hind Sciaky Ltd ,Mumbai ,www.jayahind.com 
Jayant Oils & Derivatives Ltd. ,Mumbai ,www.jayantoil.com 
John Fowler Ocular Lenses Pvt. Ltd ,Mumbai ,
John Wyeth (India) Ltd. ,Mumbai ,
Joseph Leslie Drager Mfg (Pvt.) Ltd. ,Mumbai ,www.lesliedraeger.com 
Jyothy Laboratories Ltd. ,Mumbai ,www.jyothylaboratories.com 
K B S Capital Management Ltd ,Mumbai ,
K S B Pumps Ltd. ,Mumbai ,www.ksbindia.co.in 
Kalyani Forge Ltd ,Mumbai ,www.kalyaniforge.co.in 
Kalyani Lemmerz Ltd ,Mumbai ,
Kalyani Steels Ltd ,Mumbai ,www.kalyanisteels.com 
Kamud Drugs Pvt. Ltd. ,Mumbai ,www.kamud.com 
Kard Scientific India Pvt. Ltd. ,Mumbai ,
Karla Engine Components Ltd. ,Mumbai ,
Kasiak Research Pvt. Ltd ,Mumbai ,www.kasiakresearch.com 
Katare Spinning Mills Ltd. ,Mumbai ,
Kaya Ltd. ,Mumbai ,www.kayaindia.net 
Keva Flavours Pvt Ltd ,Mumbai ,www.keva.co.in 
Kilburn Engineering Ltd. ,Mumbai ,www.kilburnengg.com 
Kirloskar Copeland Ltd ,Mumbai ,www.kirloskar.com 
Kirloskar Pneumatic Company Ltd. ,Mumbai ,www.kirloskar.com 
Kisan Irrigation Ltd. ,Mumbai ,www.kisanirrigation.com 
KLT Automotive & Tubular Products Ltd ,Mumbai ,www.kltauto.com 
Known-You Seed (I) Pvt. Ltd. ,Mumbai ,www.knownyou.co.in 
Kodak India Pvt. Ltd. ,Mumbai ,wwwin.kodak.com 
Komal Foods Pvt Ltd ,Mumbai ,
Konark Fixtures Ltd ,Mumbai ,www.konarkgroup.com 
Konark Synthetic Ltd ,Mumbai ,www.konarkonline.com 
Konduskar Laboratories Pvt. Ltd. ,Mumbai ,www.konduskarlabs.com 
Krishna Plastochem Ltd ,Mumbai ,
L & T Plastics Machinery Ltd. ,Mumbai ,
Lanxess India Pvt. Ltd. ,Mumbai ,www.lanxess.in 
Laxmi Board & Paper Mills Ltd ,Mumbai ,www.laxmipaper.com 
Legrand India Pvt Ltd ,Mumbai ,www.legrand.co.in 
Lipi Data Systems Ltd Mumbai ,Mumbai ,
Litex Electricals Pvt. Ltd. ,Mumbai ,www.litexelectricals.com 
Lloyds Steel Inds. Ltd. ,Mumbai ,www.lloydsgroup.com 
Lucid Colloids Ltd ,Mumbai ,www.lucidgroup.com 
Lucy Electric India Pvt Ltd ,Mumbai ,www.lucyelectric.com 
Lumax Auto Technologies Ltd. ,Mumbai ,www.lumaxautotech.com 
M T Z Polyfilms Ltd. ,Mumbai ,www.mtzpoly.com 
Macneill Engineering Ltd ,Mumbai ,www.macneillengineering.com 
Mafatlal Home Products Ltd ,Mumbai ,
Magneti Marelli Powertrain India Pvt Ltd ,Mumbai ,www.magnetimarelli.com 
Magnewin Energy Pvt. Ltd ,Mumbai ,
Maharashtra Seamless Ltd. ,Mumbai ,www.jindal.com 
Mahindra Composites Ltd ,Mumbai ,www.mahindracomposites.com 
Mahindra Gears & Transmissions Pvt. Ltd ,Mumbai ,www.mahindragears.com 
Mahindra Navistar Automotives Ltd. ,Mumbai ,www.mahindranavistar.com 
Mahindra Sanyo Special Steel Pvt. Ltd ,Mumbai ,www.mahindrasanyo.com 
Mahindra Truck and Buses Ltd ,Mumbai ,www.mahindratruckandbus.com 
Mahindra Tsubaki Conveyor Systems Pvt.,Mumbai ,www.mahindra-tsubaki.com 
Mahindra Two Wheelers Ltd ,Mumbai ,www.mahindratwowheelers.com 
Mahindra Ugine Steel Co. Ltd. ,Mumbai ,www.muscoindia.com 
Maneesh Pharmaceuticals Ltd ,Mumbai ,www.maneeshpharma.com 
Marshall Breeders Ltd ,Mumbai ,
Mather & Platt Pumps Ltd ,Mumbai ,www.matherplatt.com 
Mazda Colours Ltd. ,Mumbai ,www.mazdacolours.com 
Menon Bearings Ltd. ,Mumbai ,www.menonbearings.com 
Merit Organics Ltd ,Mumbai ,www.meritorganics.com 
Messung Systems ,Mumbai ,www.messung.com 
Micro Technologies (India) Ltd ,Mumbai ,www.microtechnologies.net 
Midas Care Pharmaceuticals Pvt Ltd ,Mumbai ,www.midas-care.com 
Minilec (India) Pvt. Ltd..( Biotechnology,Mumbai ,www.minilecgroup.com 
Division) ,Mumbai ,
Mitsu Pvt Ltd ,Mumbai ,www.mitsuchem.com 
Mobile Telecommunications Ltd ,Mumbai ,www.mobileteleindia.com 
Mojj Engineering Systems Ltd. ,Mumbai ,www.mojjpune.com 
Monarch Catalyst Pvt. Ltd ,Mumbai ,
Morarjee Textiles Ltd. ,Mumbai ,www.morarjeetextiles.com 
Mordi Textiles Processors Ltd ,Mumbai ,
Morex Petrochem Ltd. ,Mumbai ,www.morexpetrochem.com 
Morganite Crucible (India) Ltd. ,Mumbai ,www.morganmms.com 
Mount Everest Mineral Water Ltd. ,Mumbai ,www.himalayanmineralwater.com 
M-Tech Innovations Ltd. ,Mumbai ,www.m-techindia.com 
Multi Organics Pvt. Ltd ,Mumbai ,www.multiorganics.com 
Multi-Arc India Ltd. ,Mumbai ,www.multi-arcindia.com 
N G L Fine-Chem Ltd. ,Mumbai ,www.nglfinechem.com 
N R C Ltd. ,Mumbai ,
Nalco Water India Ltd. ,Mumbai ,
Narmada Cement Co. Ltd. ,Mumbai ,
Nath Pulp & Paper Mills Ltd. ,Mumbai ,www.nathpaper.com 
National Organic Chemical Industries ,Mumbai ,www.natocil.com 
Navinon Ltd ,Mumbai ,
Neelikon Food Dyes and Chemicals Ltd. ,Mumbai ,www.neelikon.com 
Nelco Ltd. ,Mumbai ,www.nelcoin.com 
Nelito Systems Ltd. ,Mumbai ,www.nelito.com 
Neogen Chemicals Ltd ,Mumbai ,www.neogenchem.com 
New Holland Fiat (India) Pvt. Ltd. ,Mumbai ,www.newhollandindia.co.in 
New India Inds Ltd ,Mumbai ,www.newindiaind.com 
NHC Foods Ltd ,Mumbai ,www.nhcgroup.com 
Nichrome India Ltd. ,Mumbai ,www.nichrome.com 
Nilkamal Plastics Ltd. ,Mumbai ,
Nocil Ltd. ,Mumbai ,www.natocil.com 
Nova Oleochem Ltd ,Mumbai ,
NutraHelix Biotech Pvt. Ltd. ,Mumbai ,www.nutrahelix.com 
Ohm Solitronics Pvt. Ltd. ,Mumbai ,
Oleofine Organics (India) Pvt. Ltd ,Mumbai ,www.fineorganics.com 
Organic Coatings Ltd. ,Mumbai ,www.organic-coatings.com 
Organon Office - Intervet India Pvt. Ltd.. ,Mumbai ,www.intervet.co.in 
Orient Abrasives Ltd ,Mumbai ,www.orientabrasives.com 
Oriole Electronics Pvt. Ltd. ,Mumbai ,www.orioleindia.com 
Oudh Sugar Mills Ltd ,Mumbai ,www.birla-sugar.com 
P B J-Industrial Electronics Pvt. Ltd. ,Mumbai ,www.ieecpbj.com 
P I Drugs & Pharmaceuticals Ltd. ,Mumbai ,www.pidrugs.com 
Padmashri Dr Vitthalrao Vikhe Patil,Mumbai ,
Sahakari ,Mumbai ,
Padsons Industries Pvt. Ltd. ,Mumbai ,www.padsons.com 
Paramount Minerals & Chemicals Ltd. ,Mumbai ,www.pmclindia.com 
Parke-Davis (India) Ltd ,Mumbai ,
Parle Agro Pvt Ltd ,Mumbai ,www.parleagro.com 
Parle Products Pvt Ltd ,Mumbai ,www.parleproducts.com 
Penguin Electronics Ltd ,Mumbai ,www.penguinindia.com 
Pennwalt Ltd ,Mumbai ,www.pennwalt.com 
Perfect Circle India Ltd ,Mumbai ,www.perfectcircleindia.com 
Permanent Magnets Ltd ,Mumbai ,www.pmlindia.com 
Pfizer Ltd. ,Mumbai ,www.pfizerindia.com 
Pharmaceutical Products of India Ltd ,Mumbai ,
Photoquip (India) Ltd. ,Mumbai ,www.photoquip.com 
PI Drugs & Pharmaceuticals Ltd. ,Mumbai ,www.pidrugs.com 
Piramal Enterprises Ltd ,Mumbai ,www.piramal.com 
Pix Transmissions Ltd ,Mumbai ,
Plus Paper Foodpac Ltd. ,Mumbai ,www.pluspaperfoodpac.com 
PMP Auto Components Pvt Ltd ,Mumbai ,www.pmpauto.com 
PMT Machines Ltd ,Mumbai ,www.pmtmachines.com 
Polson Ltd. ,Mumbai ,www.polsonltd.com 
Polynova Industries Ltd ,Mumbai ,www.polynovaindia.com 
Polyolefins Industries Ltd ,Mumbai ,
Poona Health Services Pvt. Ltd. ,Mumbai ,
Portescap India Pvt. Ltd ,Mumbai ,www.portescap.com 
Powerdeal Energy Systems (I) Pvt . Ltd ,Mumbai ,
PPG Asian Paints Pvt Ltd ,Mumbai ,www.ppgasianpaints.com 
Precision Camshafts Ltd ,Mumbai ,www.pclindia.in 
Precision Fasteners Ltd ,Mumbai ,www.precisionfasteners.com 
Premier Ltd ,Mumbai ,www.premier.co.in 
Prerna Pharma Industries Pvt Ltd ,Mumbai ,
Principal Pharmaceuticals & Chemicals Ltd ,Mumbai ,
Pritish Nandy Communications Ltd ,Mumbai ,www.pritishnandycom.com 
Procter & Gamble Home Products Ltd. ,Mumbai ,www.pg.com 
Protochem Industries Pvt Ltd ,Mumbai ,
Pudumjee Agro Inds. Ltd ,Mumbai ,www.pudumjee.com 
Pushpa Holdings (Mauritius) Ltd. BASF,Mumbai ,www.basf.com 
Styrenics Pvt. Ltd. ,Mumbai ,
Quick Heal Technologies Ltd ,Mumbai ,www.quickheal.com 
Quintiles Mumbai ,Mumbai ,www.quintiles.com 
R J Biotech Ltd. ,Mumbai ,www.rjbiotech.com 
Racold Thermo Ltd ,Mumbai ,www.racold.com 
Rainbow Ink & Varnish Mfg. Co. Ltd. ,Mumbai ,www.rainbowinkLtd.org 
Raj Biotech (India) Pvt. Ltd. ,Mumbai ,www.rajbiotech.com 
Raj Oil Mills Ltd ,Mumbai ,www.rajoilmillsltd.com 
Rajat Pharmachem Ltd ,Mumbai ,
Ralliwolf Ltd ,Mumbai ,www.ralliwolf.com 
Rama Pulp & Papers Ltd. ,Mumbai ,
Rangkala Investments Ltd ,Mumbai ,
Rasoya Proteins Ltd. ,Mumbai ,www.rasoyaproteins.com 
Ratnakar Enterprises ,Mumbai ,www.universaltestingmachine.org 
Ravi Dyeware Co. Pvt. Ltd ,Mumbai ,www.ravidyeware.com 
Raymond Ltd. ,Mumbai ,www.raymond.in 
RBS Equities (India) Ltd ,Mumbai ,
Reliance Infrastructure Ltd. ,Mumbai ,www.rinfra.com 
Remsons Industries Ltd ,Mumbai ,www.remsons.com 
Rhone-Poulenc Agrochemicals (India) Ltd ,Mumbai ,
Ricinash Oil Mills Ltd ,Mumbai ,www.rajoilmillsltd.com 
RIECO Industries Ltd ,Mumbai ,www.rieco.com 
Rika Global Impex Ltd ,Mumbai ,www.rika.in 
RJ Shah & Company Ltd ,Mumbai ,
Roop Telsonic Ultrasonix Ltd. ,Mumbai ,www.rooptelsonic.com 
Roplas India Ltd ,Mumbai ,
RSB Transmissions (I) Ltd. ,Mumbai ,www.rsbglobal.com 
Rubber Products Ltd. ,Mumbai ,www.rubpro.com 
Russel India Ltd ,Mumbai ,
S A J Test Plant Pvt. Ltd. ,Mumbai ,www.sajdyno.com 
S B E M Pvt. Ltd. ,Mumbai ,www.sbem-india.com 
S D Fine Chem Ltd. ,Mumbai ,www.sdfine.com 
S I Group-India Ltd. ,Mumbai ,www.siigroup.com 
S K G Refractories Ltd ,Mumbai ,www.skgrl.com 
Safepack Industries Ltd. ,Mumbai ,www.safepack.com 
Saint-Gobain Sekurit India Ltd ,Mumbai ,www.saint-gobain.co.in 
Sajjan India Ltd. ,Mumbai ,www.sajjan.com 
Salvi Chemical Industries Ltd ,Mumbai ,www.salvichem.com 
Samsonite South Asia Pvt. Ltd. ,Mumbai ,www.samsoniteindia.com 
Sandoz Pvt. Ltd. ,Mumbai ,www.sandoz.com 
Sandu Pharmaceuticals Ltd ,Mumbai ,www.sandu.in 
Sanjivani Paranteral Ltd. ,Mumbai ,www.sanjivani.co.in 
Sanvijay Rolling & Engineering Ltd ,Mumbai ,www.sanvijay.com 
Saralee Household & Bodycare India Pvt.,Mumbai ,
Schenectady Herdillia Chemicals Ltd. ,Mumbai ,www.siigroup.com 
Schrader Duncan Ltd. ,Mumbai ,www.schraderduncan.com 
Sealed Air (India) Pvt. Ltd. ,Mumbai ,www.sealedair.com 
Sekhsaria Chemicals Ltd. ,Mumbai ,
Selectica India Pvt. Ltd. ,Mumbai ,www.selectica.com 
Semco Electric Pvt. Ltd. ,Mumbai ,www.sigmaelectric.com 
Seminis Vegetable Seeds (India) Ltd ,Mumbai ,www.seminis.in 
Seya Industries Ltd ,Mumbai ,www.seya.in 
Shaper Chemicals Ltd ,Mumbai ,
Sharon Bio Medicine Ltd ,Mumbai ,www.sharonbio.com 
Sharp India Ltd ,Mumbai ,www.sharpindiaLtd..com 
Shaw Wallace Distilleries Ltd ,Mumbai ,www.shawwallace.com 
Sheetal Manufacturing Co Pvt Ltd ,Mumbai ,www.debeersgroup.com 
Shivaji Works Ltd. ,Mumbai ,
Shree Hari Chemicals Export Ltd. ,Mumbai ,www.shreeharichemicals.com 
Siemens Ltd. ,Mumbai ,www.siemens.com 
Sivananda Electronics ,Mumbai ,www.sivanandaelectronics.com 
Siyaram Silk Mills Ltd. ,Mumbai ,www.siyaram.com 
Solar Pharmachem Ltd ,Mumbai ,
Somaiya Organo Chemicals Ltd ,Mumbai ,www.somaiya.com 
Sona Blw Precision Forgings Ltd ,Mumbai ,www.sonablw.in 
Spentex Industries Ltd ,Mumbai ,
Sriman Petrochemicals Ltd. ,Mumbai ,
Star Precision Electronics India Ltd ,Mumbai ,
Starlite Components Ltd. ,Mumbai ,
Sterling International Enterprises Ltd. ,Mumbai ,
STS Chemicals Ltd ,Mumbai ,
Sudal Industries Ltd. ,Mumbai ,www.sudal.co.in 
Sulzer India Ltd. ,Mumbai ,www.sulzerindia.com 
Sun Earth Ceramics Ltd ,Mumbai ,
Sun Infoways Ltd. ,Mumbai ,
Sunflag Iron & Steel Co. Ltd ,Mumbai ,www.sunflagsteel.com 
Sutlej Industries Ltd ,Mumbai ,www.rtmyarn.com 
Suzlon Energy Ltd ,Mumbai ,www.suzlon.com 
Swastik Rubber Products Ltd ,Mumbai ,
Synergy Multibase Ltd. ,Mumbai ,
Taparia Tools Ltd. ,Mumbai ,www.tapariatools.com 
Tata Consulting Engineers Ltd. ,Mumbai ,www.tce.co.in 
Tata Infotech Ltd ,Mumbai ,www.tatainfotech.co.in 
Tata Johnson Controls Automotive Ltd ,Mumbai ,
Technofour ,Mumbai ,www.technofour.com 
Teltech Instrumentation Pvt. Ltd. ,Mumbai ,www.telgroup.com 
Texport Syndicate (India) Ltd ,Mumbai ,www.texportsyndicate.com 
The Paper Products Ltd. ,Mumbai ,www.pplpack.com 
Themis Medicare Ltd. ,Mumbai ,www.themismedicare.com 
Thermax Babcock & Wilcox Ltd. ,Mumbai ,www.tbwes.com 
Thermo Fisher Scientific India Pvt Ltd ,Mumbai ,www.thermofishersci.in 
Tickerplant Ltd ,Mumbai ,www.tickerplantindia.com 
Time Technoplast Ltd. ,Mumbai ,www.timetechnoplast.com 
Tipco Industries Ltd ,Mumbai ,www.tipco-india.com 
Tipco Polymers Pvt Ltd ,Mumbai ,
Tokheim India Pvt Ltd ,Mumbai ,www.tokheim.com 
Tractor Engineers Ltd. ,Mumbai ,www.tenglindia.com 
Transweigh (India) Ltd. ,Mumbai ,www.transweigh-india.com 
Tricom Fruit Products Ltd. ,Mumbai ,www.tricomfruitproducts.com 
Tridiagonal Solutions Pvt. Ltd. ,Mumbai ,www.tridiagonal.com 
Trimax IT Infrastructure & Services Ltd ,Mumbai ,www.trimax.in 
Twilight Litaka Pharma Ltd. ,Mumbai ,www.twillightlitaka.com 
Ugar Sugar Woorks Ltd ,Mumbai ,www.web.ugarsugar.com 
Uma Precision Ltd. ,Mumbai ,
Uni Abex Alloy Products Ltd. ,Mumbai ,www.uniabex.com 
Uni Deritend Ltd. ,Mumbai ,www.unideritend.com 
Unibios Laboratories Ltd ,Mumbai ,www.unibioslabs.com 
Unimed Technologies Ltd. ,Mumbai ,
United Van Der Horst Ltd ,Mumbai ,www.uvdhl.com 
Universal Comfort Products Ltd. ,Mumbai ,www.voltas.com 
Uniworth Textiles Ltd. ,Mumbai ,www.uniworthtextiles.com 
UPL Ltd ,Mumbai ,www.uplonline.com 
V and V Design Pvt. Ltd. ,Mumbai ,www.vvdesign.com 
V M Biotech ,Mumbai ,www.vmbiotech.com 
Value Industries Ltd ,Mumbai ,www.valueind.in 
VCU Data Management Ltd. ,Mumbai ,www.vcupack.com 
Venkataramana Food Specialities Ltd ,Mumbai ,www.venkataramanafoodspecialities.com 
Venkys (India) Ltd. ,Mumbai ,www.venkys.com 
Victor Gaskets India Ltd. ,Mumbai ,www.victorgasketsindia.com 
Vidyut Metallics Pvt Ltd ,Mumbai ,
VIN Semiconductors Pvt. Ltd ,Mumbai ,www.vinled.com 
Vinati Organics Ltd ,Mumbai ,www.vinatiorganics.com 
Vinyl Chemicals India Ltd ,Mumbai ,www.vinylchemicals.com 
Vlife Sciences Technologies Pvt. Ltd. ,Mumbai ,www.vlifesciences.com 
VVF Ltd. ,Mumbai ,www.vvfltd.com 
Walchandnagar Industries Ltd. ,Mumbai ,www.walchand.com 
Weizmann International Ltd. ,Mumbai ,www.weizmann.co.in 
Wellknown Polyesters Ltd ,Mumbai ,www.wellknown.co.in 
Welspun Global Brands Ltd ,Mumbai ,www.welspunindia.com 
Wyeth Ltd. ,Mumbai ,www.wyethindia.com 
Zandu Pharmaceuticals Works Ltd. ,Mumbai ,www.zanduayurveda.com 
ZF Steering Gear India Ltd ,Mumbai ,www.zfindia.com 
SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION ,Mumbai ,
Able-Disabled All People Together (ADAPT) ,Mumbai ,www.adaptssi.org 
Ankush Shikshan Sanstha G.H.Raisoni,Mumbai ,www.ghrce.raisoni.net 
College of Engineering Nagpur ,Mumbai ,
Anusandhan Trust ,Mumbai ,www.anusandhantrust.org 
APT Research Foundation ,Mumbai ,www.ntc-apt.com 
Arogya Seva Medical Academy of India ,Mumbai ,www.myinfoline.com 
Arthritis Research Care Foundation Centre,Mumbai ,www.aarogyadham.net 
for Rheunatic Diseases ,Mumbai ,
Aspee Agricultural Research and,Mumbai ,www.aspeefoundation.org 
Development Foundation ,Mumbai ,
Association for Research In Homeopathy,Mumbai ,www.arhcm.org 
Airoli ,Mumbai ,
Bai Jerbai Wadia Hospital for Children and,Mumbai ,
Institute of Child Health Research Society ,Mumbai ,
BAIF Development Research Foundation ,Mumabi ,www.baif.org.in 
Bharatiya Sanskriti Darshan Trust ,Matunga ,www.ayurved-for-cancer.org 
Agricultural Research Station ,Lonavala ,
Khar Land Research Station ,Panvel ,
Amity University Mumbai ,Mumbai ,www.amity.edu/mumbai 
Indian Institute of Technology Bombay,Mumbai ,www.iitb.ac.in 
University of Mumbai ,Mumbai ,www.mu.ac.in 
